"ISBN","ISBN13","Title","Author","Author l-f","Publisher","Genre","Copies"
"0141439475","9780141439471","Frankenstein (Penguin Classics)","Mary Shelley","Shelley, Mary","Penguin Books Ltd",,
"0441788386","9780441788385","Stranger in a Strange Land","Robert A. Heinlein","Heinlein, Robert A.","Ace Trade",,
"0553803700","9780553803709","I, Robot","Isaac Asimov","Asimov, Isaac","Spectra",,
"0930289234","9780930289232","Watchmen","Alan Moore","Moore, Alan","DC Comics",,
"0345418263","9780345418265","The Princess Bride ","William Goldman","Goldman, William","Ballantine Books (Ballantine Reader's Circle)",,
"0060929871","9780060929879","Brave New World","Aldous Huxley","Huxley, Aldous","Harper Perennial",,
"0007491565","9780007491568","Fahrenheit 451","Ray Bradbury","Bradbury, Ray","Harper Voyager",,
"0553588486","9780553588484","A Game of Thrones (A Song of Ice and Fire, #1)","George R.R. Martin","Martin, George R.R.","Bantam Spectra",,
"193700774X","9781937007744","Endgame (Sirantha Jax, #6)","Ann Aguirre","Aguirre, Ann","Ace",,
"0756406978","9780756406974","Alien Proliferation (Katherine ""Kitty"" Katt, #4)","Gini Koch","Koch, Gini","DAW",,
"0441020712","9780441020713","Blue Remembered Earth (Poseidon's Children, #1)","Alastair Reynolds","Reynolds, Alastair","Ace Books",,
"1451638450","9781451638455","Captain Vorpatril's Alliance (Vorkosigan Saga, #15)","Lois McMaster Bujold","Bujold, Lois McMaster","Baen",,
"0345453743","9780345453747","The Ultimate Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy, #1-5)","Douglas Adams","Adams, Douglas","Del Rey/Ballantine Books",,
"0618346252","9780618346257","The Fellowship of the Ring (The Lord of the Rings, #1)","J.R.R. Tolkien","Tolkien, J.R.R.","Houghton Mifflin Harcourt",,
"141659907X","9781416599074","Drop Dead Healthy: One Man's Humble Quest for Bodily Perfection","A.J. Jacobs","Jacobs, A.J.","Simon & Schuster",,
"1449410243","9781449410247","How to Tell If Your Cat Is Plotting to Kill You","Matthew Inman","Inman, Matthew","Andrews McMeel Publishing",,
"1451608128","9781451608120","Trail of the Spellmans (The Spellmans, #5)","Lisa Lutz","Lutz, Lisa","Simon & Schuster",,
"0062113380","9780062113382","I Suck at Girls","Justin Halpern","Halpern, Justin","It Books",,
"0805095837","9780805095838","Most Talkative: Stories from the Front Lines of Pop Culture","Andy Cohen","Cohen, Andy","Henry Holt and Co.",,
"0316204277","9780316204279","Where'd You Go, Bernadette","Maria Semple","Semple, Maria","Little, Brown and Company",,
"1592406890","9781592406890","Tough Shit: Life Advice from a Fat, Lazy Slob Who Did Good","Kevin Smith","Smith, Kevin","Gotham",,
"145210655X","9781452106557","Darth Vader and Son","Jeffrey Brown","Brown, Jeffrey","Chronicle Books",,
"1780334834","9781780334837","Weird Things Customers Say in Bookshops ","Jen Campbell","Campbell, Jen","Constable and Robinson",,
"0062124293","9780062124296","How to Be a Woman","Caitlin Moran","Moran, Caitlin","Harper Perennial",,
"1455523429","9781455523429","I am a Pole (And So Can You!)","Stephen Colbert","Colbert, Stephen","Grand Central Publishing",,
"0399159010","9780399159015","Let's Pretend This Never Happened: A Mostly True Memoir","Jenny  Lawson","Lawson, Jenny","Amy Einhorn: Putnam",,
"0316010669","9780316010665","Blink: The Power of Thinking without Thinking","Malcolm Gladwell","Gladwell, Malcolm","Back Bay Books",,
"1451648537","9781451648539","Steve Jobs","Walter Isaacson","Isaacson, Walter","Simon & Schuster",,
"0785820450","9780785820451","Out of My Later Years Through His Own Words","Albert Einstein","Einstein, Albert","Castle Books",,
"0425179877","9780425179871","Failure is not an Option: Mission Control From Mercury to Apollo 13 and Beyond","Gene Kranz","Kranz, Gene","Berkley Trade",,
"0805091254","9780805091250","The Believing Brain: From Ghosts and Gods to Politics and Conspiracies How We Construct Beliefs and Reinforce Them as Truths","Michael Shermer","Shermer, Michael","Times Books",,
"006171951X","9780061719516","The Clockwork Universe: Isaac Newton, the Royal Society, and the Birth of the Modern World","Edward Dolnick","Dolnick, Edward","Harper",,
"0785819118","9780785819110","The Origin of Species","Charles Darwin","Darwin, Charles","Castle Books",,
"0140277447","9780140277449","The Rape of Nanking","Iris Chang","Chang, Iris","Penguin Books",,
"074347788X","9780743477888","Undaunted Courage: The Pioneering First Mission to Explore America's Wild Frontier","Stephen E. Ambrose","Ambrose, Stephen E.","Simon & Schuster",,
"0671869205","9780671869205","Truman","David McCullough","McCullough, David","Simon & Schuster",,
"019516895X","9780195168952","Battle Cry of Freedom: The Civil War Era","James M. McPherson","McPherson, James M.","Oxford University Press, USA",,
"0671728687","9780671728687","The Rise and Fall of the Third Reich: A History of Nazi Germany","William L. Shirer","Shirer, William L.","Simon & Schuster",,
"0743270754","9780743270755","Team of Rivals: The Political Genius of Abraham Lincoln","Doris Kearns Goodwin","Goodwin, Doris Kearns","Simon & Schuster",,
"0743223136","9780743223133","John Adams","David McCullough","McCullough, David","Simon & Schuster Paperbacks",,
"163035001X","9781630350024","The Arrangement 11 (The Arrangement, #11)","H.M. Ward","Ward, H.M.","Laree Bailey Press",,
"1594480001","9781594480003","The Kite Runner","Khaled Hosseini","Hosseini, Khaled","Riverhead Books",,
"0385732554","9780385732550","The Giver (The Giver Quartet, #1)","Lois Lowry","Lowry, Lois","Ember",,
"0140283331","9780140283334","Lord of the Flies","William Golding","Golding, William","Penguin Books ",,
"0743477111","9780743477116","Romeo and Juliet","William Shakespeare","Shakespeare, William","Washington Square Press",,
"0066238501","9780066238500","The Chronicles of Narnia (Chronicles of Narnia #1-7)","C.S. Lewis","Lewis, C.S.","HarperCollins",,
"0743273567","9780743273565","The Great Gatsby","F. Scott Fitzgerald","Fitzgerald, F. Scott","Scribner",,
"0618260307","9780618260300","The Hobbit","J.R.R. Tolkien","Tolkien, J.R.R.","Houghton Mifflin",,
"0156012197","9780156012195","The Little Prince","Antoine de Saint-Exupéry","Saint-Exupéry, Antoine de","Harcourt, Inc.",,
"0452284244","9780452284241","Animal Farm","George Orwell","Orwell, George","Plume",,
"0330107372","9780330107372","The Diary of Anne Frank","Anne Frank","Frank, Anne","Macmillan General Books",,
"0679783261","9780679783268","Pride and Prejudice","Jane Austen","Austen, Jane","Modern Library",,
"0061120081","9780061120084","To Kill a Mockingbird","Harper Lee","Lee, Harper","Harper Perennial Modern Classics",,
"0812550706","9780812550702","Ender's Game (Ender's Saga, #1)","Orson Scott Card","Card, Orson Scott","Tor Science Fiction",,
"0156010860","9780156010863","The Seven Storey Mountain","Thomas Merton","Merton, Thomas","Mariner Books",,
"080701429X","9780807014295","Man's Search for Meaning","Viktor E. Frankl","Frankl, Viktor E.","Beacon Press",,
"0385483716","9780385483711","God Has a Dream: A Vision of Hope for Our Time","Desmond Tutu","Tutu, Desmond","Image",,
"0553208845","9780553208849","Siddhartha","Hermann Hesse","Hesse, Hermann","Bantam Books",,
"0061122416","9780061122415","The Alchemist","Paulo Coelho","Coelho, Paulo","HarperCollins",,
"0062023179","9780062023179","The Screwtape Letters: Annotated Edition","C.S. Lewis","Lewis, C.S.","HarperOne",,
"1579126278","9781579126278","The Murder of Roger Ackroyd (Hercule Poirot, #4)","Agatha Christie","Christie, Agatha","Black Dog & Leventhal Publishers",,
"0553328255","9780553328257","The Complete Sherlock Holmes","Arthur Conan Doyle","Doyle, Arthur Conan","Bantam Classics",,
"0061043494","9780061043499","Gaudy Night (Lord Peter Wimsey Mysteries, #12)","Dorothy L. Sayers","Sayers, Dorothy L.","HarperTorch",,
"0743442539","9780743442534","The Spy Who Came In from the Cold (George Smiley #3)","John le Carré","Carré, John le","Scribner",,
"0394758285","9780394758282","The Big Sleep (Philip Marlowe, #1)","Raymond Chandler","Chandler, Raymond","Vintage Crime",,
"0684803860","9780684803869","The Daughter of Time (Inspector Alan Grant #5)","Josephine Tey","Tey, Josephine","Touchstone",,
"0544217624","9780544217621","Johnny Carson","Henry Bushkin","Bushkin, Henry","Eamon Dolan/Houghton Mifflin Harcourt",,
"0805098550","9780805098556","Killing Jesus: A History","Bill O'Reilly","O'Reilly, Bill","Henry Holt and Co.",,
"1592289800","9781592289806","From Baghdad, With Love: A Marine, the War, and a Dog Named Lava","Jay Kopelman","Kopelman, Jay","Lyons Press",,
"0307336794","9780307336798","The Art of Simple Food: Notes, Lessons, and Recipes from a Delicious Revolution","Alice Waters","Waters, Alice","Clarkson Potter",,
"0938497308","9780938497301","Simple Sourdough: Make Your Own Starter Without Store-Bought Yeast and Bake the Best Bread in the World With This Simplest of Recipes for Making Sourdough (or Sour Dough)","Mark Shepard","Shepard, Mark","Shepard Publications",,
"1623150248","9781623150242","The DASH Diet Health Plan: Low-Sodium, Low-Fat Recipes to Promote Weight Loss, Lower Blood Pressure, and Help Prevent Diabetes","John Chatham","Chatham, John","Rockridge University Press ",,
"0316735507","9780316735506","Eat to Live: The Revolutionary Formula for Fast and Sustained Weight Loss","Joel Fuhrman","Fuhrman, Joel","Little, Brown and Company",,
"0061251348","9780061251344","Deceptively Delicious: Simple Secrets To Get Your Kids Eating Good Foods","Jessica Seinfeld","Seinfeld, Jessica","Collins",,
"0061658197","9780061658198","The Pioneer Woman Cooks: Recipes from an Accidental Country Girl","Ree Drummond","Drummond, Ree","William Morrow Cookbooks",,
"1416552502","9781416552505","Speaks the Nightbird (Matthew Corbett #1)","Robert R. McCammon","McCammon, Robert R.","Gallery Books",,
"1847442765","9781847442765","Accused","Mark Gimenez","Gimenez, Mark","Sphere",,
"0143123238","9780143123231","The Silent Wife","A.S.A. Harrison","Harrison, A.S.A.","Penguin Books",,
"1448108535","9781448108534","Unlucky 13","James Patterson","Patterson, James","Cornerstone Digital",,
"0385344341","9780385344340","Never Go Back (Jack Reacher, #18)","Lee Child","Child, Lee","Delacorte Press",,
"0316253014","9780316253017","An Astronaut's Guide to Life on Earth: What Going to Space Taught Me About Ingenuity, Determination, and Being Prepared for Anything","Chris Hadfield","Hadfield, Chris","Little, Brown and Company",,
"1250040159","9781250040152","My Story","Elizabeth  Smart","Smart, Elizabeth","St. Martin's Press",,
